1788271860.578567311 POLL pid=134900 state=DEAD
1788271860.785951846 POLL pid=134900 state=DEAD
1788271860.994969572 POLL pid=134900 state=DEAD
1788271861.202265722 POLL pid=134900 state=DEAD
1788271861.406904990 POLL pid=134900 state=DEAD
1788271861.612993373 POLL pid=134900 state=DEAD
1788271861.820586408 POLL pid=134900 state=DEAD
1788271862.027333713 POLL pid=134900 state=DEAD
1788271862.084983766 POSTCHECK +15s pid=134900 state=DEAD
1788271862.233778943 POLL pid=134900 state=DEAD
1788271862.437523642 POLL pid=134900 state=DEAD
1788271862.643061321 POLL pid=134900 state=DEAD
1788271862.850580684 POLL pid=134900 state=DEAD
1788271863.061450638 POLL pid=134900 state=DEAD
1788271863.268074695 POLL pid=134900 state=DEAD
1788271863.472319380 POLL pid=134900 state=DEAD
1788271863.678403325 POLL pid=134900 state=DEAD
1788271863.884408381 POLL pid=134900 state=DEAD
1788271864.101356044 POLL pid=134900 state=DEAD
1788271864.304417472 POLL pid=134900 state=DEAD
1788271864.510599857 POLL pid=134900 state=DEAD
1788271864.718230899 POLL pid=134900 state=DEAD
1788271864.922419696 POLL pid=134900 state=DEAD
1788271865.127473618 POLL pid=134900 state=DEAD
1788271865.339193513 POLL pid=134900 state=DEAD
1788271865.548154199 POLL pid=134900 state=DEAD
1788271865.753209139 POLL pid=134900 state=DEAD
1788271865.958415217 POLL pid=134900 state=DEAD
1788271866.163564502 POLL pid=134900 state=DEAD
1788271866.370853977 POLL pid=134900 state=DEAD
1788271866.573762319 POLL pid=134900 state=DEAD
1788271866.783984754 POLL pid=134900 state=DEAD
1788271866.987128505 POLL pid=134900 state=DEAD
1788271867.089808997 POSTCHECK +20s pid=134900 state=DEAD
1788271867.190409881 POLL pid=134900 state=DEAD
1788271867.393393815 POLL pid=134900 state=DEAD
1788271867.596295962 POLL pid=134900 state=DEAD
1788271867.808234683 POLL pid=134900 state=DEAD
1788271868.012365290 POLL pid=134900 state=DEAD
1788271868.229714568 POLL pid=134900 state=DEAD
1788271868.433542486 POLL pid=134900 state=DEAD
1788271868.639829868 POLL pid=134900 state=DEAD
1788271868.850665068 POLL pid=134900 state=DEAD
1788271869.065538161 POLL pid=134900 state=DEAD
1788271869.269153527 POLL pid=134900 state=DEAD
1788271869.473712640 POLL pid=134900 state=DEAD
1788271869.682840459 POLL pid=134900 state=DEAD
1788271869.897924693 POLL pid=134900 state=DEAD
1788271870.101751390 POLL pid=134900 state=DEAD
1788271870.305390550 POLL pid=134900 state=DEAD
1788271870.509713165 POLL pid=134900 state=DEAD
1788271870.723278792 POLL pid=134900 state=DEAD
1788271870.929037227 POLL pid=134900 state=DEAD
1788271871.132985044 POLL pid=134900 state=DEAD
1788271871.344876426 POLL pid=134900 state=DEAD
1788271871.550844649 POLL pid=134900 state=DEAD
1788271871.755561489 POLL pid=134900 state=DEAD
1788271871.962646565 POLL pid=134900 state=DEAD
1788271872.099580077 POSTCHECK +25s pid=134900 state=DEAD
1788271872.166343680 POLL pid=134900 state=DEAD
1788271872.373345719 POLL pid=134900 state=DEAD
1788271872.579873350 POLL pid=134900 state=DEAD
1788271872.786107508 POLL pid=134900 state=DEAD
1788271872.993317541 POLL pid=134900 state=DEAD
1788271873.202014986 POLL pid=134900 state=DEAD
1788271873.411113945 POLL pid=134900 state=DEAD
1788271873.614774884 POLL pid=134900 state=DEAD
1788271873.820911310 POLL pid=134900 state=DEAD
1788271874.027824858 POLL pid=134900 state=DEAD
1788271874.243865836 POLL pid=134900 state=DEAD
1788271874.451536708 POLL pid=134900 state=DEAD
1788271874.655267149 POLL pid=134900 state=DEAD
1788271874.864270606 POLL pid=134900 state=DEAD
1788271875.074653705 POLL pid=134900 state=DEAD
1788271875.281620045 POLL pid=134900 state=DEAD
1788271875.491489536 POLL pid=134900 state=DEAD
1788271875.702245422 POLL pid=134900 state=DEAD
1788271875.907229676 POLL pid=134900 state=DEAD
1788271876.115963592 POLL pid=134900 state=DEAD
1788271876.319128295 POLL pid=134900 state=DEAD
1788271876.530923288 POLL pid=134900 state=DEAD
1788271876.743526837 POLL pid=134900 state=DEAD
1788271876.946503585 POLL pid=134900 state=DEAD
1788271877.106240015 POSTCHECK +30s pid=134900 state=DEAD
