1788273489.975510186 POLL pid=140655 state=DEAD
1788273490.478977585 POLL pid=140655 state=DEAD
1788273490.982548816 POLL pid=140655 state=DEAD
1788273491.485762449 POLL pid=140655 state=DEAD
1788273491.988074268 POLL pid=140655 state=DEAD
1788273492.490203349 POLL pid=140655 state=DEAD
1788273492.992375092 POLL pid=140655 state=DEAD
1788273493.495718843 POLL pid=140655 state=DEAD
1788273493.999120033 POLL pid=140655 state=DEAD
1788273494.502247841 POLL pid=140655 state=DEAD
1788273495.005910014 POLL pid=140655 state=DEAD
1788273495.509471527 POLL pid=140655 state=DEAD
1788273496.012333058 POLL pid=140655 state=DEAD
1788273496.515150468 POLL pid=140655 state=DEAD
1788273497.018778932 POLL pid=140655 state=DEAD
1788273497.520849795 POLL pid=140655 state=DEAD
1788273498.023227065 POLL pid=140655 state=DEAD
1788273498.525453372 POLL pid=140655 state=DEAD
1788273499.027803507 POLL pid=140655 state=DEAD
1788273499.530440016 POLL pid=140655 state=DEAD
1788273500.033159124 POLL pid=140655 state=DEAD
1788273500.535559240 POLL pid=140655 state=DEAD
1788273501.038062719 POLL pid=140655 state=DEAD
1788273501.053877759 POSTCHECK +60s pid=140655 state=DEAD
1788273501.540953711 POLL pid=140655 state=DEAD
1788273502.044487201 POLL pid=140655 state=DEAD
1788273502.547036835 POLL pid=140655 state=DEAD
1788273503.049125440 POLL pid=140655 state=DEAD
1788273503.551296415 POLL pid=140655 state=DEAD
1788273504.054304995 POLL pid=140655 state=DEAD
1788273504.557248981 POLL pid=140655 state=DEAD
1788273505.059570111 POLL pid=140655 state=DEAD
1788273505.561843670 POLL pid=140655 state=DEAD
1788273506.063935602 POLL pid=140655 state=DEAD
1788273506.566126529 POLL pid=140655 state=DEAD
1788273507.069099431 POLL pid=140655 state=DEAD
1788273507.572148326 POLL pid=140655 state=DEAD
1788273508.074645915 POLL pid=140655 state=DEAD
1788273508.577048593 POLL pid=140655 state=DEAD
1788273509.079342184 POLL pid=140655 state=DEAD
1788273509.581293089 POLL pid=140655 state=DEAD
1788273510.083954526 POLL pid=140655 state=DEAD
1788273510.586519693 POLL pid=140655 state=DEAD
1788273511.089018923 POLL pid=140655 state=DEAD
1788273511.591658460 POLL pid=140655 state=DEAD
1788273512.094488761 POLL pid=140655 state=DEAD
1788273512.596598644 POLL pid=140655 state=DEAD
1788273513.099301374 POLL pid=140655 state=DEAD
1788273513.601735112 POLL pid=140655 state=DEAD
1788273514.104168560 POLL pid=140655 state=DEAD
1788273514.607893437 POLL pid=140655 state=DEAD
1788273515.111133414 POLL pid=140655 state=DEAD
1788273515.613703188 POLL pid=140655 state=DEAD
1788273516.116296315 POLL pid=140655 state=DEAD
1788273516.619715743 POLL pid=140655 state=DEAD
1788273517.122460097 POLL pid=140655 state=DEAD
1788273517.625530651 POLL pid=140655 state=DEAD
1788273518.127743561 POLL pid=140655 state=DEAD
1788273518.630036211 POLL pid=140655 state=DEAD
1788273519.132065556 POLL pid=140655 state=DEAD
1788273519.635288470 POLL pid=140655 state=DEAD
1788273520.138484337 POLL pid=140655 state=DEAD
1788273520.640640263 POLL pid=140655 state=DEAD
1788273521.143026123 POLL pid=140655 state=DEAD
1788273521.645347761 POLL pid=140655 state=DEAD
1788273522.147738573 POLL pid=140655 state=DEAD
1788273522.650388200 POLL pid=140655 state=DEAD
1788273523.153207289 POLL pid=140655 state=DEAD
1788273523.655691653 POLL pid=140655 state=DEAD
1788273524.157967527 POLL pid=140655 state=DEAD
1788273524.659948774 POLL pid=140655 state=DEAD
