1788271777.703700774 POLL pid=134083 state=DEAD
1788271777.906741631 POLL pid=134083 state=DEAD
1788271778.126679028 POLL pid=134083 state=DEAD
1788271778.335687860 POLL pid=134083 state=DEAD
1788271778.543862695 POLL pid=134083 state=DEAD
1788271778.749415378 POLL pid=134083 state=DEAD
1788271778.952522895 POLL pid=134083 state=DEAD
1788271779.156394173 POLL pid=134083 state=DEAD
1788271779.372842200 POLL pid=134083 state=DEAD
1788271779.578946584 POLL pid=134083 state=DEAD
1788271779.787178215 POLL pid=134083 state=DEAD
1788271779.993659850 POLL pid=134083 state=DEAD
1788271780.202218735 POLL pid=134083 state=DEAD
1788271780.233108706 POSTCHECK +20s pid=134083 state=DEAD
1788271780.405126151 POLL pid=134083 state=DEAD
1788271780.610478171 POLL pid=134083 state=DEAD
1788271780.819336936 POLL pid=134083 state=DEAD
1788271781.024213180 POLL pid=134083 state=DEAD
1788271781.229311374 POLL pid=134083 state=DEAD
1788271781.432569886 POLL pid=134083 state=DEAD
1788271781.642124762 POLL pid=134083 state=DEAD
1788271781.847289742 POLL pid=134083 state=DEAD
1788271782.055717219 POLL pid=134083 state=DEAD
1788271782.260228796 POLL pid=134083 state=DEAD
1788271782.463925243 POLL pid=134083 state=DEAD
1788271782.667876378 POLL pid=134083 state=DEAD
1788271782.870885981 POLL pid=134083 state=DEAD
1788271783.074241679 POLL pid=134083 state=DEAD
1788271783.283131068 POLL pid=134083 state=DEAD
1788271783.498508247 POLL pid=134083 state=DEAD
1788271783.700911337 POLL pid=134083 state=DEAD
1788271783.904263600 POLL pid=134083 state=DEAD
1788271784.108312230 POLL pid=134083 state=DEAD
1788271784.314944953 POLL pid=134083 state=DEAD
1788271784.520640176 POLL pid=134083 state=DEAD
1788271784.723470510 POLL pid=134083 state=DEAD
1788271784.927211460 POLL pid=134083 state=DEAD
1788271785.130502731 POLL pid=134083 state=DEAD
1788271785.238665536 POSTCHECK +25s pid=134083 state=DEAD
1788271785.343971087 POLL pid=134083 state=DEAD
1788271785.552145017 POLL pid=134083 state=DEAD
1788271785.755380305 POLL pid=134083 state=DEAD
1788271785.958799115 POLL pid=134083 state=DEAD
1788271786.161988339 POLL pid=134083 state=DEAD
1788271786.365192742 POLL pid=134083 state=DEAD
1788271786.570526649 POLL pid=134083 state=DEAD
1788271786.773401883 POLL pid=134083 state=DEAD
1788271786.978909553 POLL pid=134083 state=DEAD
1788271787.184634238 POLL pid=134083 state=DEAD
1788271787.390426607 POLL pid=134083 state=DEAD
1788271787.594984350 POLL pid=134083 state=DEAD
1788271787.799746822 POLL pid=134083 state=DEAD
1788271788.002485293 POLL pid=134083 state=DEAD
1788271788.210316289 POLL pid=134083 state=DEAD
1788271788.413809853 POLL pid=134083 state=DEAD
1788271788.617858237 POLL pid=134083 state=DEAD
1788271788.826017659 POLL pid=134083 state=DEAD
1788271789.030757718 POLL pid=134083 state=DEAD
1788271789.235514700 POLL pid=134083 state=DEAD
1788271789.443180905 POLL pid=134083 state=DEAD
1788271789.651294854 POLL pid=134083 state=DEAD
1788271789.854871856 POLL pid=134083 state=DEAD
1788271790.062891943 POLL pid=134083 state=DEAD
1788271790.243955165 POSTCHECK +30s pid=134083 state=DEAD
