1788273786.963535257 POLL pid=142788 state=DEAD
1788273787.465767035 POLL pid=142788 state=DEAD
1788273787.967831068 POLL pid=142788 state=DEAD
1788273788.470982652 POLL pid=142788 state=DEAD
1788273788.973603979 POLL pid=142788 state=DEAD
1788273789.476094823 POLL pid=142788 state=DEAD
1788273789.978321726 POLL pid=142788 state=DEAD
1788273790.481332483 POLL pid=142788 state=DEAD
1788273790.983760799 POLL pid=142788 state=DEAD
1788273791.487546888 POLL pid=142788 state=DEAD
1788273791.990742477 POLL pid=142788 state=DEAD
1788273792.492980065 POLL pid=142788 state=DEAD
1788273792.996534478 POLL pid=142788 state=DEAD
1788273793.498869231 POLL pid=142788 state=DEAD
1788273794.001157408 POLL pid=142788 state=DEAD
1788273794.503639559 POLL pid=142788 state=DEAD
1788273795.006688450 POLL pid=142788 state=DEAD
1788273795.509090204 POLL pid=142788 state=DEAD
1788273796.011095563 POLL pid=142788 state=DEAD
1788273796.513727806 POLL pid=142788 state=DEAD
1788273797.016413527 POLL pid=142788 state=DEAD
1788273797.518793760 POLL pid=142788 state=DEAD
1788273798.021101660 POLL pid=142788 state=DEAD
1788273798.523416884 POLL pid=142788 state=DEAD
1788273798.805022699 POSTCHECK +60s pid=142788 state=DEAD
1788273799.026067441 POLL pid=142788 state=DEAD
1788273799.528221541 POLL pid=142788 state=DEAD
1788273800.030162375 POLL pid=142788 state=DEAD
1788273800.532975114 POLL pid=142788 state=DEAD
1788273801.035250046 POLL pid=142788 state=DEAD
1788273801.537531549 POLL pid=142788 state=DEAD
1788273802.040465937 POLL pid=142788 state=DEAD
1788273802.543024103 POLL pid=142788 state=DEAD
1788273803.045414734 POLL pid=142788 state=DEAD
1788273803.547530022 POLL pid=142788 state=DEAD
1788273804.050533792 POLL pid=142788 state=DEAD
1788273804.553868274 POLL pid=142788 state=DEAD
1788273805.056735283 POLL pid=142788 state=DEAD
1788273805.560397149 POLL pid=142788 state=DEAD
1788273806.063232434 POLL pid=142788 state=DEAD
1788273806.565513009 POLL pid=142788 state=DEAD
1788273807.068959018 POLL pid=142788 state=DEAD
1788273807.571737232 POLL pid=142788 state=DEAD
1788273808.074357822 POLL pid=142788 state=DEAD
1788273808.576730498 POLL pid=142788 state=DEAD
1788273809.080173207 POLL pid=142788 state=DEAD
1788273809.583247836 POLL pid=142788 state=DEAD
1788273810.086047184 POLL pid=142788 state=DEAD
1788273810.588766161 POLL pid=142788 state=DEAD
1788273811.090979044 POLL pid=142788 state=DEAD
1788273811.593317539 POLL pid=142788 state=DEAD
1788273812.095366207 POLL pid=142788 state=DEAD
1788273812.598338889 POLL pid=142788 state=DEAD
1788273813.101084493 POLL pid=142788 state=DEAD
1788273813.603909918 POLL pid=142788 state=DEAD
1788273814.106992694 POLL pid=142788 state=DEAD
1788273814.610550889 POLL pid=142788 state=DEAD
1788273815.113863479 POLL pid=142788 state=DEAD
1788273815.616997764 POLL pid=142788 state=DEAD
1788273816.119923998 POLL pid=142788 state=DEAD
1788273816.622645664 POLL pid=142788 state=DEAD
1788273817.125749030 POLL pid=142788 state=DEAD
1788273817.628581943 POLL pid=142788 state=DEAD
1788273818.131862668 POLL pid=142788 state=DEAD
1788273818.635810261 POLL pid=142788 state=DEAD
1788273819.138548793 POLL pid=142788 state=DEAD
1788273819.640871358 POLL pid=142788 state=DEAD
1788273820.143137407 POLL pid=142788 state=DEAD
1788273820.645834387 POLL pid=142788 state=DEAD
1788273821.148566302 POLL pid=142788 state=DEAD
1788273821.651325505 POLL pid=142788 state=DEAD
1788273822.154688783 POLL pid=142788 state=DEAD
1788273822.656776145 POLL pid=142788 state=DEAD
1788273823.159658679 POLL pid=142788 state=DEAD
1788273823.662447035 POLL pid=142788 state=DEAD
1788273824.164927393 POLL pid=142788 state=DEAD
1788273824.668118344 POLL pid=142788 state=DEAD
1788273825.171830364 POLL pid=142788 state=DEAD
1788273825.674716625 POLL pid=142788 state=DEAD
1788273826.177891197 POLL pid=142788 state=DEAD
1788273826.682301808 POLL pid=142788 state=DEAD
1788273827.187145146 POLL pid=142788 state=DEAD
1788273827.689772540 POLL pid=142788 state=DEAD
1788273828.192446103 POLL pid=142788 state=DEAD
1788273828.695604038 POLL pid=142788 state=DEAD
1788273828.809342430 POSTCHECK +90s pid= state=DEAD
1788273829.198085613 POLL pid=142788 state=DEAD
1788273829.700824465 POLL pid=142788 state=DEAD
1788273830.203450137 POLL pid=142788 state=DEAD
1788273830.705797753 POLL pid=142788 state=DEAD
1788273831.207607527 POLL pid=142788 state=DEAD
1788273831.710226423 POLL pid=142788 state=DEAD
1788273832.213323989 POLL pid=142788 state=DEAD
1788273832.716283302 POLL pid=142788 state=DEAD
1788273833.219109773 POLL pid=142788 state=DEAD
1788273833.721151884 POLL pid=142788 state=DEAD
